カテゴリ,日本語ラベル,Wikidata Q,Wikidata 検証 URL,Wikidata API レスポンス（label/description verbatim 抜粋）,Schema.org type URI,Schema.org 検証 URL,Google Places API primary type,Place API ソース URL,検証日時 UTC,検証結果
業種,税理士,Q688576,https://www.wikidata.org/wiki/Special:EntityData/Q688576.json,"label.en=tax advisor / desc.en=financial expert specially trained in tax law",https://schema.org/AccountingService,https://schema.org/AccountingService,accounting,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,❌ 不一致 / 想定 Q1147505 は Cycloelimination（化学反応）/ 正規 Q=Q688576
業種,弁護士,Q40348,https://www.wikidata.org/wiki/Special:EntityData/Q40348.json,"label.ja=弁護士 / label.en=lawyer / desc.ja=依頼を受けて法律事務の処理を職務とする専門職 / desc.en=legal professional who helps clients and represents them in a court of law",https://schema.org/LegalService,https://schema.org/LegalService,lawyer,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致
業種,司法書士,Q4390235,https://www.wikidata.org/wiki/Special:EntityData/Q4390235.json,"label.en=judicial scrivener / desc.en=Legal profession in some Asian countries",https://schema.org/LegalService,https://schema.org/LegalService,lawyer,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致（wbsearchentities verbatim 取得）
業種,行政書士,Q869212,https://www.wikidata.org/wiki/Special:EntityData/Q869212.json,"label.en=administrative scrivener / desc.en=legal profession in Japan",https://schema.org/LegalService,https://schema.org/LegalService,lawyer,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致（wbsearchentities verbatim 取得）
業種,不動産,Q519076,https://www.wikidata.org/wiki/Special:EntityData/Q519076.json,"label.en=real-estate agent / desc.en=Person serving as intermediary between property sellers and buyers for compensation",https://schema.org/RealEstateAgent,https://schema.org/RealEstateAgent,real_estate_agency,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,❌ 不一致 / 想定 Q35749 は parliament（議会）/ 正規 Q=Q519076（real-estate agent）
業種,飲食店,Q11707,https://www.wikidata.org/wiki/Special:EntityData/Q11707.json,"label.ja=レストラン / label.en=restaurant / desc.ja=食事を提供する店 / desc.en=single establishment which prepares and serves food, located in building",https://schema.org/Restaurant,https://schema.org/Restaurant,restaurant,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致
業種,美容院,Q1195245,https://www.wikidata.org/wiki/Special:EntityData/Q1195245.json,"label.en=beauty salon / desc.en=establishment dealing in cosmetic treatments, such as hairdressing and nail services",https://schema.org/BeautySalon,https://schema.org/BeautySalon,beauty_salon,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,❌ 不一致 / 想定 Q43164 は kitchen（台所）/ 想定 Q286 は leather（皮革）/ 正規 Q=Q1195245（beauty salon）副候補 Q11265853（hair salon）
業種,美容クリニック（自由診療）,Q3332453,https://www.wikidata.org/wiki/Special:EntityData/Q3332453.json,"label.en=aesthetic medicine / desc.en=broad term for specialties that focus on altering cosmetic appearance",https://schema.org/MedicalClinic,https://schema.org/MedicalClinic,doctor,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致（wbsearchentities verbatim 取得 / cosmetic clinic は学術論文タイトルしかヒットせず aesthetic medicine を採用）
業種,宿泊施設,Q27686,https://www.wikidata.org/wiki/Special:EntityData/Q27686.json,"label.ja=ホテル / label.en=hotel / desc.ja=短期滞在のための有料宿泊施設 / desc.en=business enterprise that provides indoor lodging in a single location paid on a short-term basis",https://schema.org/LodgingBusiness,https://schema.org/LodgingBusiness,hotel,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,✅ 一致
業種,クリニック・診療所（保険診療）,Q1774898,https://www.wikidata.org/wiki/Special:EntityData/Q1774898.json,"label.en=clinic / desc.en=health care facility, primarily focused on the care of outpatients",https://schema.org/MedicalClinic,https://schema.org/MedicalClinic,doctor,https://developers.google.com/maps/documentation/places/web-service/place-types,2026-05-01T00:00:00Z,❌ 不一致 / 想定 Q955824 は learned society（学術団体）/ 想定 Q16917 は hospital（病院、外来主体ではない）/ 正規 Q=Q1774898（clinic）
